Archetype,Attribute,Base Value,Max Value
Target,Reactions,75,99
Target,BallControl,70,92
Target,Dribbling,70,92
Target,Composure,72,96
Target,Interceptions,50,82
Target,HeadingAccuracy,75,99
Target,DefAwareness,50,82
Target,StandingTackle,45,75
Target,SlidingTackle,40,75
Target,Jumping,75,96
Target,Stamina,60,92
Target,Strength,75,99
Target,Aggression,65,92
Target,WeakFoot,2,5
Target,SkillMoves,2,5
Recycler,Acceleration,70,90
Recycler,SprintSpeed,70,90
Recycler,AttackPositioning,70,90
Recycler,Finishing,50,90
Recycler,ShotPower,75,96
Recycler,LongShots,75,99
Recycler,Volleys,65,90
Recycler,Penalties,65,90
Recycler,Vision,75,96
Recycler,Crossing,65,92
Recycler,FKAccuracy,50,99
Recycler,ShortPassing,70,96
Recycler,LongPassing,75,96
Recycler,Curve,65,90
Recycler,Agility,70,92
Recycler,Balance,75,92
Recycler,Reactions,65,92
Recycler,BallControl,65,92
Recycler,Dribbling,65,90
Recycler,Composure,72,99
Recycler,Interceptions,75,99
Recycler,HeadingAccuracy,65,90
Recycler,DefAwareness,75,99
Recycler,StandingTackle,75,96
Recycler,SlidingTackle,75,92
Recycler,Jumping,65,90
Recycler,Stamina,75,96
Recycler,Strength,75,96
Recycler,Aggression,75,96
Recycler,WeakFoot,3,5
Recycler,SkillMoves,2,4
Maestro,Acceleration,65,90
Maestro,SprintSpeed,70,90
Maestro,AttackPositioning,80,96
Maestro,Finishing,65,96
Maestro,ShotPower,65,96
Maestro,LongShots,70,96
Maestro,Volleys,65,96
Maestro,Penalties,65,99
Maestro,Vision,75,99
Maestro,Crossing,75,92
Maestro,FKAccuracy,75,99
Maestro,ShortPassing,75,96
Maestro,LongPassing,75,99
Maestro,Curve,70,96
Maestro,Agility,72,99
Maestro,Balance,75,96
Maestro,Reactions,65,99
Maestro,BallControl,75,99
Maestro,Dribbling,65,96
Maestro,Composure,75,99
Maestro,Interceptions,75,92
Maestro,HeadingAccuracy,50,85
Maestro,DefAwareness,65,90
Maestro,StandingTackle,75,90
Maestro,SlidingTackle,50,90
Maestro,Jumping,60,90
Maestro,Stamina,65,92
Maestro,Strength,65,92
Maestro,Aggression,65,92
Maestro,WeakFoot,3,5
Maestro,SkillMoves,2,5
Creator,Acceleration,70,92
Creator,SprintSpeed,65,92
Creator,AttackPositioning,80,99
Creator,Finishing,65,96
Creator,ShotPower,75,96
Creator,LongShots,75,99
Creator,Volleys,72,96
Creator,Penalties,75,99
Creator,Vision,75,99
Creator,Crossing,75,96
Creator,FKAccuracy,75,99
Creator,ShortPassing,75,96
Creator,LongPassing,75,96
Creator,Curve,75,99
Creator,Agility,72,99
Creator,Balance,65,96
Creator,Reactions,75,99
Creator,BallControl,75,96
Creator,Dribbling,75,96
Creator,Composure,72,96
Creator,Interceptions,55,85
Creator,HeadingAccuracy,50,85
Creator,DefAwareness,50,85
Creator,StandingTackle,65,90
Creator,SlidingTackle,50,90
Creator,Jumping,60,90
Creator,Stamina,65,92
Creator,Strength,65,92
Creator,Aggression,55,92
Creator,WeakFoot,3,5
Creator,SkillMoves,2,5
Spark,Acceleration,75,99
Spark,SprintSpeed,75,95
Spark,AttackPositioning,80,96
Spark,Finishing,65,96
Spark,ShotPower,65,92
Spark,LongShots,65,92
Spark,Volleys,72,96
Spark,Penalties,75,99
Spark,Vision,75,96
Spark,Crossing,75,99
Spark,FKAccuracy,65,99
Spark,ShortPassing,75,96
Spark,LongPassing,65,92
Spark,Curve,75,96
Spark,Agility,75,99
Spark,Balance,75,96
Spark,Reactions,75,99
Spark,BallControl,75,96
Spark,Dribbling,75,99
Spark,Composure,72,96
Spark,Interceptions,55,85
Spark,HeadingAccuracy,50,85
Spark,DefAwareness,50,85
Spark,StandingTackle,55,80
Spark,SlidingTackle,45,75
Spark,Jumping,55,85
Spark,Stamina,65,92
Spark,Strength,65,90
Spark,Aggression,50,92
Spark,WeakFoot,3,5
Spark,SkillMoves,3,5
Boss,Acceleration,70,90
Boss,SprintSpeed,75,90
Boss,AttackPositioning,75,90
Boss,Finishing,45,82
Boss,ShotPower,75,96
Boss,LongShots,60,85
Boss,Volleys,55,75
Boss,Penalties,70,92
Boss,Vision,55,90
Boss,Crossing,45,90
Boss,FKAccuracy,50,90
Boss,ShortPassing,65,92
Boss,LongPassing,65,90
Boss,Curve,50,75
Boss,Agility,65,90
Boss,Balance,75,90
Boss,Reactions,60,99
Boss,BallControl,65,92
Boss,Dribbling,60,88
Boss,Composure,65,92
Boss,Interceptions,75,96
Boss,HeadingAccuracy,75,99
Boss,DefAwareness,75,96
Boss,StandingTackle,75,96
Boss,SlidingTackle,75,99
Boss,Jumping,75,99
Boss,Stamina,70,92
Boss,Strength,75,99
Boss,Aggression,75,99
Boss,WeakFoot,2,4
Boss,SkillMoves,2,3
Progressor,Acceleration,70,90
Progressor,SprintSpeed,75,90
Progressor,AttackPositioning,70,90
Progressor,Finishing,50,85
Progressor,ShotPower,65,92
Progressor,LongShots,50,85
Progressor,Volleys,50,75
Progressor,Penalties,65,92
Progressor,Vision,75,92
Progressor,Crossing,50,92
Progressor,FKAccuracy,45,90
Progressor,ShortPassing,75,96
Progressor,LongPassing,75,96
Progressor,Curve,50,85
Progressor,Agility,70,90
Progressor,Balance,70,92
Progressor,Reactions,65,99
Progressor,BallControl,70,96
Progressor,Dribbling,65,92
Progressor,Composure,75,96
Progressor,Interceptions,75,96
Progressor,HeadingAccuracy,75,96
Progressor,DefAwareness,75,99
Progressor,StandingTackle,75,99
Progressor,SlidingTackle,75,96
Progressor,Jumping,75,99
Progressor,Stamina,65,92
Progressor,Strength,70,96
Progressor,Aggression,65,96
Progressor,WeakFoot,2,4
Progressor,SkillMoves,2,4
Engine,Acceleration,70,92
Engine,SprintSpeed,75,92
Engine,AttackPositioning,70,90
Engine,Finishing,65,90
Engine,ShotPower,70,92
Engine,LongShots,65,85
Engine,Volleys,65,75
Engine,Penalties,65,90
Engine,Vision,65,92
Engine,Crossing,65,96
Engine,FKAccuracy,50,95
Engine,ShortPassing,75,96
Engine,LongPassing,70,92
Engine,Curve,65,90
Engine,Agility,70,92
Engine,Balance,65,92
Engine,Reactions,65,99
Engine,BallControl,65,92
Engine,Dribbling,65,92
Engine,Composure,65,92
Engine,Interceptions,75,92
Engine,HeadingAccuracy,75,92
Engine,DefAwareness,65,92
Engine,StandingTackle,75,92
Engine,SlidingTackle,75,92
Engine,Jumping,75,92
Engine,Stamina,75,99
Engine,Strength,65,96
Engine,Aggression,65,96
Engine,WeakFoot,3,5
Engine,SkillMoves,2,4
Marauder,Acceleration,75,92
Marauder,SprintSpeed,75,95
Marauder,AttackPositioning,65,92
Marauder,Finishing,55,90
Marauder,ShotPower,65,92
Marauder,LongShots,60,85
Marauder,Volleys,65,96
Marauder,Penalties,65,96
Marauder,Vision,60,92
Marauder,Crossing,75,99
Marauder,FKAccuracy,60,95
Marauder,ShortPassing,65,92
Marauder,LongPassing,65,92
Marauder,Curve,75,96
Marauder,Agility,70,95
Marauder,Balance,65,92
Marauder,Reactions,70,99
Marauder,BallControl,70,96
Marauder,Dribbling,70,92
Marauder,Composure,65,92
Marauder,Interceptions,70,96
Marauder,HeadingAccuracy,65,90
Marauder,DefAwareness,70,96
Marauder,StandingTackle,70,96
Marauder,SlidingTackle,75,96
Marauder,Jumping,60,92
Marauder,Stamina,75,96
Marauder,Strength,60,96
Marauder,Aggression,75,96
Marauder,WeakFoot,3,5
Marauder,SkillMoves,2,5
